s01	Screenshot 2026-07-08 at 01.44.59.png	1234 1238 
s02	Screenshot 2026-07-08 at 01.44.56 (2).png	3024 1964 
s03	Screenshot 2026-07-08 at 01.44.56.png	3440 1440 
s04	Screenshot 2026-07-08 at 01.44.50.png	780 995 
s05	Screenshot 2026-07-08 at 01.44.44.png	1186 1283 
s06	Screenshot 2026-07-08 at 01.44.34.png	1488 1295 
s07	Screenshot 2026-07-08 at 01.44.29.png	1495 1299 
s08	Screenshot 2026-07-08 at 01.25.02.png	1266 915 
s09	Screenshot 2026-07-07 at 19.27.36.png	767 290 
s10	Screenshot 2026-07-07 at 16.50.58.png	791 416 
s11	Screenshot 2026-07-07 at 16.49.14.png	938 1155 
s12	Screenshot 2026-07-07 at 16.47.03.png	151 114 
s13	Screenshot 2026-07-07 at 16.45.24.png	502 105 
s14	Screenshot 2026-07-07 at 16.44.40.png	268 184 
s15	Screenshot 2026-07-07 at 16.44.11.png	297 200 
